symbol,company,sector,industry,active
APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,True
APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,Financial Services,True
ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,Capital Goods,True
ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,Consumer Durables,True
ASTERDM.NS,Aster DM Quality Care Ltd.,Healthcare,Healthcare,True
ASTRAL.NS,Astral Ltd.,Capital Goods,Capital Goods,True
ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
ATUL.NS,Atul Ltd.,Chemicals,Chemicals,True
AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,Healthcare,True
AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,Financial Services,True
DMART.NS,Avenue Supermarts Ltd.,Consumer Services,Consumer Services,True
AXISBANK.NS,Axis Bank Ltd.,Financial Services,Financial Services,True
BEML.NS,BEML Ltd.,Capital Goods,Capital Goods,True
BLS.NS,BLS International Services Ltd.,Consumer Services,Consumer Services,True
BSE.NS,BSE Ltd.,Financial Services,Financial Services,True
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,Automobile and Auto Components,True
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,Financial Services,True
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Services,True
BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,Financial Services,True
BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services,Financial Services,True
